data_as_of,start_date,end_date,group,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,15-24 years,1797.0,97748,1917.0,730.0,104.0,3080.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,18-29 years,4301.0,168776,4276.0,1900.0,172.0,6832.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,25-34 years,7607.0,196824,7129.0,3594.0,235.0,11354.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,30-39 years,12263.0,237089,11180.0,6060.0,323.0,17679.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,35-44 years,18602.0,273868,16415.0,9399.0,415.0,25984.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,40-49 years,28930.0,326794,24772.0,15002.0,552.0,39167.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,45-54 years,45411.0,445872,39447.0,24190.0,828.0,61374.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,50-64 years,125592.0,1249590,120596.0,67705.0,2387.0,180527.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,55-64 years,97883.0,983034,96141.0,52818.0,1881.0,142817.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,65-74 years,152082.0,1450938,160476.0,83003.0,2464.0,231668.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,75-84 years,168030.0,1576934,179597.0,88219.0,2598.0,261698.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,85 years and over,137620.0,1382623,142992.0,64036.0,2070.0,218405.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,All Ages,517046.0,5834235,517354.0,243103.0,11381.0,801575.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,Under 1 year,235.0,32842,470.0,41.0,24.0,687.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,0-17 years,786.0,54550,1360.0,188.0,227.0,2172.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,1-4 years,134.0,6197,351.0,31.0,68.0,516.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,5-14 years,248.0,9158,369.0,60.0,115.0,667.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,15-24 years,1224.0,35711,1258.0,527.0,102.0,2053.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,18-29 years,2729.0,62606,2762.0,1262.0,157.0,4374.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,25-34 years,4794.0,81856,4577.0,2248.0,229.0,7335.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,30-39 years,7623.0,110952,7215.0,3706.0,321.0,11435.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,35-44 years,11506.0,142609,10886.0,5829.0,382.0,16920.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,40-49 years,17330.0,184684,16333.0,9072.0,450.0,25001.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,45-54 years,25977.0,263650,25471.0,13959.0,624.0,38049.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,50-64 years,77479.0,781101,81481.0,42623.0,1958.0,118093.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,55-64 years,61829.0,621870,65769.0,34156.0,1569.0,94848.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,65-74 years,104724.0,1058157,112200.0,56383.0,2212.0,162506.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,75-84 years,132132.0,1457972,137670.0,63901.0,2750.0,208378.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Female,85 years and over,174243.0,2124213,158333.0,65968.0,3306.0,269616.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,All Ages,21520.0,231602,17619.0,7411.0,356.0,32038.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,Under 1 year,0.0,1491,19.0,0.0,0.0,24.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,0-17 years,19.0,2691,45.0,0.0,0.0,67.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,1-4 years,0.0,344,13.0,0.0,0.0,19.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,5-14 years,0.0,453,11.0,0.0,0.0,16.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,15-24 years,46.0,2672,51.0,16.0,0.0,85.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,18-29 years,142.0,4549,122.0,55.0,0.0,214.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,25-34 years,267.0,5388,218.0,102.0,0.0,389.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,30-39 years,416.0,6827,319.0,147.0,13.0,599.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,35-44 years,670.0,8639,468.0,231.0,16.0,921.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,40-49 years,1053.0,11224,748.0,359.0,14.0,1455.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,45-54 years,1628.0,15413,1114.0,557.0,23.0,2206.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,50-64 years,4563.0,43324,3440.0,1595.0,93.0,6488.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,55-64 years,3568.0,34215,2780.0,1250.0,76.0,5163.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,65-74 years,5481.0,51862,4585.0,1946.0,82.0,8196.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,75-84 years,5630.0,58463,4914.0,2026.0,84.0,8588.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,All Sexes,85 years and over,4216.0,52662,3446.0,1279.0,58.0,6431.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,All Ages,11570.0,121096,9582.0,4039.0,194.0,17279.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,Under 1 year,0.0,848,0.0,0.0,0.0,14.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,0-17 years,10.0,1648,20.0,0.0,0.0,33.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,1-4 years,0.0,201,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,5-14 years,0.0,298,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,15-24 years,25.0,1956,27.0,10.0,0.0,45.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,18-29 years,84.0,3333,70.0,31.0,0.0,127.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,25-34 years,156.0,3743,129.0,59.0,0.0,230.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,30-39 years,241.0,4484,186.0,85.0,0.0,348.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,35-44 years,375.0,5503,267.0,127.0,0.0,522.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,40-49 years,578.0,6904,433.0,204.0,0.0,814.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,45-54 years,915.0,9276,644.0,322.0,14.0,1249.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,50-64 years,2577.0,25931,1894.0,874.0,53.0,3641.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,55-64 years,2012.0,20475,1517.0,676.0,43.0,2889.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,65-74 years,3158.0,29680,2689.0,1133.0,42.0,4752.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,75-84 years,3099.0,29480,2714.0,1126.0,46.0,4726.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Male,85 years and over,1823.0,19636,1576.0,585.0,30.0,2838.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,All Ages,9950.0,110506,8037.0,3372.0,162.0,14759.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,Under 1 year,0.0,643,10.0,0.0,0.0,10.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,0-17 years,0.0,1043,25.0,0.0,0.0,34.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,1-4 years,0.0,143,0.0,0.0,0.0,11.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,5-14 years,0.0,155,0.0,0.0,0.0,10.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,15-24 years,21.0,716,24.0,0.0,0.0,40.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,18-29 years,58.0,1216,52.0,24.0,0.0,87.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,25-34 years,111.0,1645,89.0,43.0,0.0,159.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,30-39 years,175.0,2343,133.0,62.0,0.0,251.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,35-44 years,295.0,3136,201.0,104.0,0.0,399.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,40-49 years,475.0,4320,315.0,155.0,0.0,641.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,45-54 years,713.0,6137,470.0,235.0,0.0,957.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,50-64 years,1986.0,17393,1546.0,721.0,40.0,2847.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,55-64 years,1556.0,13740,1263.0,574.0,33.0,2274.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,65-74 years,2323.0,22182,1896.0,813.0,40.0,3444.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,75-84 years,2531.0,28983,2200.0,900.0,38.0,3862.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alabama,Female,85 years and over,2393.0,33026,1870.0,694.0,28.0,3593.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,All Ages,1492.0,20039,1486.0,813.0,48.0,2211.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,Under 1 year,0.0,198,0.0,0.0,0.0,13.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,0-17 years,10.0,376,0.0,0.0,0.0,19.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,1-4 years,0.0,36,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,5-14 years,0.0,71,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,15-24 years,0.0,477,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,18-29 years,20.0,771,21.0,10.0,0.0,32.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,25-34 years,35.0,942,38.0,18.0,0.0,57.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,30-39 years,47.0,1180,61.0,22.0,0.0,89.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,35-44 years,70.0,1197,82.0,36.0,0.0,121.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,40-49 years,94.0,1254,98.0,56.0,0.0,140.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,45-54 years,129.0,1590,116.0,70.0,0.0,180.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,50-64 years,322.0,4184,317.0,172.0,0.0,475.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,55-64 years,244.0,3254,255.0,134.0,0.0,369.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,65-74 years,389.0,4514,385.0,238.0,14.0,550.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,75-84 years,361.0,4246,360.0,205.0,0.0,521.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,All Sexes,85 years and over,249.0,3514,236.0,109.0,10.0,385.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,All Ages,881.0,11631,870.0,484.0,26.0,1292.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,Under 1 year,0.0,120,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,0-17 years,0.0,235,0.0,0.0,0.0,10.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,1-4 years,0.0,22,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,5-14 years,0.0,49,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,15-24 years,0.0,343,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,18-29 years,12.0,530,0.0,0.0,0.0,17.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,25-34 years,21.0,589,18.0,10.0,0.0,31.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,30-39 years,27.0,749,39.0,14.0,0.0,55.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,35-44 years,40.0,767,50.0,20.0,0.0,74.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,40-49 years,52.0,760,50.0,27.0,0.0,78.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,45-54 years,84.0,994,67.0,42.0,0.0,112.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,50-64 years,225.0,2722,214.0,124.0,0.0,321.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,55-64 years,168.0,2112,173.0,97.0,0.0,248.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,65-74 years,237.0,2723,231.0,141.0,0.0,331.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,75-84 years,211.0,2411,211.0,119.0,0.0,305.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Male,85 years and over,112.0,1501,111.0,53.0,0.0,175.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,All Ages,611.0,8408,616.0,329.0,22.0,919.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,Under 1 year,0.0,78,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,0-17 years,0.0,141,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,1-4 years,0.0,14,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,5-14 years,0.0,22,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,15-24 years,0.0,134,0.0,0.0,0.0,0.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,18-29 years,0.0,241,12.0,0.0,0.0,15.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,25-34 years,14.0,353,20.0,0.0,0.0,26.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,30-39 years,20.0,431,22.0,0.0,0.0,34.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,35-44 years,30.0,430,32.0,16.0,0.0,47.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,40-49 years,42.0,494,48.0,29.0,0.0,62.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,45-54 years,45.0,596,49.0,28.0,0.0,68.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,50-64 years,97.0,1462,103.0,48.0,0.0,154.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,55-64 years,76.0,1142,82.0,37.0,0.0,121.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,65-74 years,152.0,1791,154.0,97.0,10.0,219.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,75-84 years,150.0,1835,149.0,86.0,0.0,216.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Alaska,Female,85 years and over,137.0,2013,125.0,56.0,0.0,210.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,All Ages,30307.0,284393,30328.0,17435.0,377.0,43554.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,Under 1 year,0.0,1603,30.0,0.0,0.0,39.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,0-17 years,48.0,3178,94.0,17.0,15.0,140.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,1-4 years,0.0,380,18.0,0.0,0.0,32.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,5-14 years,18.0,543,27.0,10.0,0.0,39.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,15-24 years,123.0,3961,123.0,62.0,0.0,187.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,18-29 years,279.0,6779,248.0,144.0,0.0,387.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,25-34 years,482.0,8054,429.0,247.0,10.0,674.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,30-39 years,741.0,9744,687.0,406.0,16.0,1038.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,35-44 years,1000.0,10839,900.0,562.0,25.0,1361.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,40-49 years,1484.0,12615,1328.0,880.0,30.0,1958.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,45-54 years,2229.0,16820,2017.0,1343.0,35.0,2932.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,50-64 years,5898.0,45366,5756.0,3574.0,85.0,8159.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,55-64 years,4583.0,35482,4569.0,2794.0,62.0,6418.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,65-74 years,7300.0,58762,7464.0,4482.0,82.0,10360.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,75-84 years,8223.0,74120,8457.0,4739.0,77.0,12013.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,All Sexes,85 years and over,6334.0,73829,6294.0,3193.0,68.0,9499.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,All Ages,17806.0,156794,17661.0,10431.0,194.0,25220.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,Under 1 year,0.0,882,16.0,0.0,0.0,23.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,0-17 years,27.0,1861,47.0,0.0,10.0,78.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,1-4 years,0.0,219,10.0,0.0,0.0,19.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,5-14 years,0.0,302,11.0,0.0,0.0,17.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,15-24 years,73.0,2952,71.0,31.0,0.0,115.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,18-29 years,170.0,5069,154.0,86.0,0.0,240.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,25-34 years,295.0,5843,258.0,142.0,0.0,417.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,30-39 years,457.0,6861,416.0,244.0,0.0,638.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,35-44 years,624.0,7436,560.0,354.0,13.0,841.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,40-49 years,935.0,8359,820.0,547.0,14.0,1218.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,45-54 years,1446.0,10788,1273.0,870.0,17.0,1863.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,50-64 years,3693.0,28277,3482.0,2216.0,52.0,5010.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,55-64 years,2827.0,22005,2720.0,1697.0,39.0,3889.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,65-74 years,4378.0,34435,4426.0,2701.0,44.0,6145.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,75-84 years,4915.0,40197,5004.0,2899.0,32.0,7051.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Male,85 years and over,3231.0,31735,3312.0,1732.0,31.0,4840.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Female,All Ages,12501.0,127599,12667.0,7004.0,183.0,18334.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Female,Under 1 year,0.0,721,14.0,0.0,0.0,16.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Female,0-17 years,21.0,1317,47.0,11.0,0.0,62.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,Arizona,Female,1-4 years,0.0,161,0.0,0.0,0.0,13.0
